0,0.83606155
0.1,0.82832111
0.2,0.82061666
0.3,0.81294821
0.4,0.80531576
0.5,0.79771931
0.6,0.79015885
0.7,0.7826344
0.8,0.77514594
0.9,0.76769348
1,0.76027702
1.1,0.75289656
1.2,0.7455521
1.3,0.73824363
1.4,0.73097116
1.5,0.72373469
1.6,0.71653422
1.7,0.70936975
1.8,0.70224127
1.9,0.69514879
2,0.68809232
2.1,0.68107184
2.2,0.67408735
2.3,0.66713887
2.4,0.66022638
2.5,0.6533499
2.6,0.64650941
2.7,0.63970492
2.8,0.63293642
2.9,0.62620393
3,0.61950743
3.1,0.61284693
3.2,0.60622243
3.3,0.59963393
3.4,0.59308143
3.5,0.58656492
3.6,0.58008442
3.7,0.57363991
3.8,0.5672314
3.9,0.56085888
4,0.55452237
4.1,0.54822185
4.2,0.54195734
4.3,0.53572882
4.4,0.52953629
4.5,0.52337977
4.6,0.51725925
4.7,0.51117472
4.8,0.50512619
4.9,0.49911366
5,0.49313713
5.1,0.48719659
5.2,0.48129206
5.3,0.47542352
5.4,0.46959098
5.5,0.46379444
5.6,0.4580339
5.7,0.45230935
5.8,0.44662081
5.9,0.44096826
6,0.43535171
6.1,0.42977116
6.2,0.4242266
6.3,0.41871805
6.4,0.41324549
6.5,0.40780893
6.6,0.40240837
6.7,0.39704381
6.8,0.39171525
6.9,0.38642268
7,0.38116611
7.1,0.37594554
7.2,0.37076097
7.3,0.3656124
7.4,0.36049982
7.5,0.35542325
7.6,0.35038267
7.7,0.34537809
7.8,0.34040951
7.9,0.33547692
8,0.33058034
8.1,0.32571975
8.2,0.32089516
8.3,0.31610657
8.4,0.31135398
8.5,0.30663738
8.6,0.30195679
8.7,0.29731219
8.8,0.29270359
8.9,0.28813099
9,0.28359438
9.1,0.27909378
9.2,0.27462917
9.3,0.27020056
9.4,0.26580795
9.5,0.26145134
9.6,0.25713073
9.7,0.25284611
9.8,0.24859749
9.9,0.24438487
10,0.24020825
10.1,0.23606763
10.2,0.231963
10.3,0.22789438
10.4,0.22386175
10.5,0.21986512
10.6,0.21590449
10.7,0.21197985
10.8,0.20809122
10.9,0.20423858
11,0.20042194
11.1,0.1966413
11.2,0.19289666
11.3,0.18918801
11.4,0.18551537
11.5,0.18187872
11.6,0.17827807
11.7,0.17471342
11.8,0.17118476
11.9,0.16769211
12,0.16423545
12.1,0.16081479
12.2,0.15743013
12.3,0.15408147
12.4,0.15076881
12.5,0.14749214
12.6,0.14425147
12.7,0.1410468
12.8,0.13787813
12.9,0.13474546
13,0.13164879
13.1,0.12858811
13.2,0.12556343
13.3,0.12257475
13.4,0.11962207
13.5,0.11670539
13.6,0.1138247
13.7,0.11098001
13.8,0.10817132
13.9,0.10539863
14,0.10266194
14.1,0.09996125
14.2,0.09729655
14.3,0.09466785
14.4,0.09207515
14.5,0.08951845
